Net Status Report
Filename     : C:\Users\Tayyar\Desktop\school\MQP\PCB\FPGA_interface_layout\FPGA_interface\FPGA_interface_ver2.PcbDoc
Date         : 1/2/2012
Time         : 10:54:15 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    SW_EN2_78, Signal Layers Only, 605.274mils
    VCO_ADC_CLK12, Signal Layers Only, 356.352mils
    VCO_ADC_CLK34, Signal Layers Only, 967.749mils
    VCO_ADC_CLK56, Signal Layers Only, 1045.316mils
    VCO_ADC_CLK78, Signal Layers Only, 572.605mils
    VCO_ADC_SDI12, Signal Layers Only, 387.998mils
    VCO_ADC_SDI34, Signal Layers Only, 967.096mils
    VCO_ADC_SDI56, Signal Layers Only, 1071.007mils
    VCO_ADC_SDI78, Signal Layers Only, 564.366mils
    VCO_PWDN12, Signal Layers Only, 608.459mils
    VCO_PWDN34, Signal Layers Only, 850.114mils
    VCO_PWDN56, Signal Layers Only, 1042.174mils
    VCO_PWDN78, Signal Layers Only, 410.015mils
    VCO_SDO12, Signal Layers Only, 379.729mils
    VCO_SDO34, Signal Layers Only, 966.444mils
    VCO_SDO56, Signal Layers Only, 1071.791mils
    VCO_SDO78, Signal Layers Only, 567.698mils
    VGA12_A0, Signal Layers Only, 1355.471mils
    VGA12_A1, Signal Layers Only, 1430.777mils
    VGA12_A2, Signal Layers Only, 1403.993mils
    VGA12_A3, Signal Layers Only, 1717.001mils
    VGA12_A4, Signal Layers Only, 1405.683mils
    VGA12_B0, Signal Layers Only, 509.255mils
    VGA12_B1, Signal Layers Only, 289.365mils
    VGA12_B2, Signal Layers Only, 534.963mils
    VGA12_B3, Signal Layers Only, 390.017mils
    VGA12_B4, Signal Layers Only, 541.34mils
    VGA34_A0, Signal Layers Only, 1642.249mils
    VGA34_A1, Signal Layers Only, 1601.671mils
    VGA34_A2, Signal Layers Only, 1687.874mils
    VGA34_A3, Signal Layers Only, 2003.395mils
    VGA34_A4, Signal Layers Only, 1727.598mils
    VGA34_B0, Signal Layers Only, 1110.047mils
    VGA34_B1, Signal Layers Only, 831.578mils
    VGA34_B2, Signal Layers Only, 1109.395mils
    VGA34_B3, Signal Layers Only, 832.231mils
    VGA34_B4, Signal Layers Only, 1108.742mils
    VGA56_A0, Signal Layers Only, 1122.568mils
    VGA56_A1, Signal Layers Only, 1053.708mils
    VGA56_A2, Signal Layers Only, 1210.369mils
